invoice_id,branch,city,customer_type,gender,product_line,unit_price,quantity,total,date,time,payment_method,rating
750-67-8428,D,San Jose,Member,Female,Health and beauty,74.69,7,548.97,05/01/19,13:08:00,Ewallet,9.1
226-31-3081,A,Philadelphia,Normal,Female,Electronic accessories,15.28,5,80.22,08/03/19,10:29:00,Cash,9.6
631-41-3108,A,Phoenix,Normal,Male,Home and lifestyle,46.33,7,340.53,03/03/19,13:23:00,Credit card,7.4
123-19-1176,B,New York,Member,Male,Health and beauty,58.22,8,489.05,27/01/19,20:33:00,Ewallet,8.4
373-73-7910,A,Chicago,Normal,Male,Sports and travel,86.31,7,634.38,08/02/19,10:37:00,Ewallet,5.3
699-14-3026,B,Philadelphia,Normal,Male,Electronic accessories,85.39,7,627.62,25/03/19,18:30:00,Ewallet,4.1
355-53-5943,C,Los Angeles,Member,Female,Electronic accessories,68.84,6,433.69,25/02/19,14:36:00,Ewallet,5.8
315-22-5665,D,Philadelphia,Normal,Female,Home and lifestyle,73.56,10,772.38,24/02/19,11:38:00,Ewallet,8
665-32-9167,A,New York,Member,Female,Health and beauty,36.26,2,76.15,10/01/19,17:15:00,Credit card,7.2
692-92-5582,A,Philadelphia,Member,Female,Food and beverages,54.84,3,172.75,20/02/19,13:27:00,Credit card,5.9
351-62-0822,D,Chicago,Member,Female,Fashion accessories,14.48,4,60.82,06/02/19,18:07:00,Ewallet,4.5
529-56-3974,A,Dallas,Member,Male,Electronic accessories,25.51,4,107.14,09/03/19,17:03:00,Cash,6.8
365-64-0515,C,New York,Normal,Female,Electronic accessories,46.95,5,246.49,12/02/19,10:25:00,Ewallet,7.1
252-56-2699,B,Chicago,Normal,Male,Food and beverages,43.19,10,453.50,07/02/19,16:48:00,Ewallet,8.2
829-34-3910,C,San Diego,Normal,Female,Health and beauty,71.38,10,749.49,29/03/19,19:21:00,Cash,5.7
299-46-1805,B,New York,Member,Female,Sports and travel,93.72,6,590.44,15/01/19,16:19:00,Cash,4.5
656-95-9349,B,Los Angeles,Member,Female,Health and beauty,68.93,7,506.64,11/03/19,11:03:00,Credit card,4.6
765-26-6951,C,Houston,Normal,Male,Sports and travel,72.61,6,457.44,01/01/19,10:39:00,Credit card,6.9
329-62-1586,C,Phoenix,Normal,Male,Food and beverages,54.67,3,172.21,21/01/19,18:00:00,Credit card,8.6
319-50-3348,E,San Jose,Normal,Female,Home and lifestyle,40.3,2,84.63,11/03/19,15:30:00,Ewallet,4.4
300-71-4605,D,San Diego,Member,Male,Electronic accessories,86.04,5,451.71,25/02/19,11:24:00,Ewallet,4.8
371-85-5789,A,New York,Normal,Male,Health and beauty,87.98,3,277.14,05/03/19,10:40:00,Ewallet,5.1
